image-1,image-2,t-im1,t-im2,t-diff,coord-1,coord-2,dist,vel
photo_01931.jpg,photo_01932.jpg,2022-01-14 21:12:43,2022-01-14 21:12:50,7,"(350.85321044921875, 694.241455078125)","(793.7742919921875, 741.51953125)",0.8549658388494091,0.015448011328239036
photo_01931.jpg,photo_01933.jpg,2022-01-14 21:12:43,2022-01-14 21:12:59,16,"(349.0560302734375, 627.2640380859375)","(1230.3360595703125, 720.5760498046875)",3.077105238519767,0.02432451691049876
photo_01931.jpg,photo_01934.jpg,2022-01-14 21:12:43,2022-01-14 21:13:08,25,"(456.0, 273.0)","(453.86968994140625, 641.9867553710938)",1.6621302022137538,0.008409049119039823
photo_01931.jpg,photo_01935.jpg,2022-01-14 21:12:43,2022-01-14 21:13:17,34,"(494.4790954589844, 508.81182861328125)","(923.1669311523438, 654.4283447265625)",2.0211800539574667,0.007518789800721776
photo_01932.jpg,photo_01933.jpg,2022-01-14 21:12:50,2022-01-14 21:12:59,9,"(800.4000244140625, 724.800048828125)","(1238.4000244140625, 770.4000244140625)",1.3676003065538378,0.019219342974769935
photo_01932.jpg,photo_01934.jpg,2022-01-14 21:12:50,2022-01-14 21:13:08,18,"(176.0, 121.0)","(1079.0, 232.0)",3.7440192616587864,0.026307975345255738
photo_01932.jpg,photo_01935.jpg,2022-01-14 21:12:50,2022-01-14 21:13:17,27,"(631.0, 926.0)","(1124.6400146484375, 698.4000244140625)",2.343029121991179,0.010975789753683123
photo_01933.jpg,photo_01934.jpg,2022-01-14 21:12:59,2022-01-14 21:13:08,9,"(90.0, 602.4000244140625)","(550.800048828125, 651.6000366210938)",1.2424106407637558,0.017460010871533316
photo_01933.jpg,photo_01935.jpg,2022-01-14 21:12:59,2022-01-14 21:13:17,18,"(95.04000091552734, 748.800048828125)","(1000.800048828125, 840.9600219726562)",2.8451142418651636,0.01999166940617255
photo_01934.jpg,photo_01935.jpg,2022-01-14 21:13:08,2022-01-14 21:13:17,9,"(456.8556823730469, 674.8325805664062)","(907.7393798828125, 722.6083374023438)",1.1625840983806395,0.01633818186257592
photo_05515.jpg,photo_05516.jpg,2022-01-15 08:26:06,2022-01-15 08:26:15,9,"(787.9681396484375, 661.478515625)","(1244.16015625, 678.0673217773438)",2.133147344477596,0.029977830681058484
photo_05515.jpg,photo_05517.jpg,2022-01-15 08:26:06,2022-01-15 08:26:24,18,"(1239.60009765625, 100.80000305175781)","(68.4000015258789, 64.80000305175781)",117.17532441498895,0.8233519462226556
photo_05515.jpg,photo_06312.jpg,2022-01-15 08:26:06,2022-01-15 11:05:09,9543,"(828.0000610351562, 475.20001220703125)","(1307.52001953125, 122.4000015258789)",13.530025496819475,0.00017932281513546338
photo_05515.jpg,photo_06313.jpg,2022-01-15 08:26:06,2022-01-15 11:05:18,9552,"(1088.64013671875, 586.828857421875)","(971.0422973632812, 551.8099975585938)",20.45019177253111,0.0002707852026161783
photo_05515.jpg,photo_06314.jpg,2022-01-15 08:26:06,2022-01-15 11:05:27,9561,"(887.0400390625, 947.52001953125)","(1119.7442626953125, 310.54241943359375)",339.0765837988225,0.004485556565095186
photo_05515.jpg,photo_07003.jpg,2022-01-15 08:26:06,2022-01-15 13:07:54,16908,"(982.800048828125, 285.6000061035156)","(283.0, 559.0)",3.3995956176395756,2.5430615904841114e-05
photo_05515.jpg,photo_07004.jpg,2022-01-15 08:26:06,2022-01-15 13:08:03,16917,"(1149.1199951171875, 453.6000061035156)","(1192.320068359375, 84.67200469970703)",1.7521163812784775,1.3099703251409932e-05
